code	market	time	pinyin	name
002067	sz	2006-09-15	jxzy	景兴纸业
002068	sz	2006-09-15	hmgf	黑猫股份
002069	sz	2006-09-28	zzd	獐子岛
002070	sz	2006-10-12	zhgf	众和股份
002071	sz	2006-10-12	ccys	长城影视
002072	sz	2006-10-18	krd	凯瑞德
002073	sz	2006-10-18	rkgf	软控股份
002074	sz	2006-10-18	gxgk	国轩高科
002075	sz	2006-10-25	sggf	沙钢股份
002076	sz	2006-10-25	xlt	雪 莱 特
002077	sz	2006-11-16	dggf	大港股份
002078	sz	2006-11-16	tyzy	太阳纸业
002079	sz	2006-11-16	szgd	苏州固锝
002080	sz	2006-11-20	zckj	中材科技
002081	sz	2006-11-20	jtl	金 螳 螂
002082	sz	2006-11-20	dlxc	栋梁新材
002083	sz	2006-11-24	frgf	孚日股份
002084	sz	2006-11-24	howy	海鸥卫浴
002085	sz	2006-11-28	wfaw	万丰奥威
002086	sz	2006-11-28	dfhy	东方海洋
002087	sz	2006-11-30	xyfz	新野纺织
002088	sz	2006-11-30	lyjn	鲁阳节能
002089	sz	2006-11-30	xhy	新 海 宜
002090	sz	2006-12-08	jzkj	金智科技
002091	sz	2006-12-08	jsgt	江苏国泰
002092	sz	2006-12-08	zthx	中泰化学
002093	sz	2006-12-15	gmkj	国脉科技
002094	sz	2006-12-15	qdjw	青岛金王
002095	sz	2006-12-15	syb	生 意 宝
002096	sz	2006-12-22	nlmb	南岭民爆
002097	sz	2006-12-22	shzn	山河智能
002098	sz	2006-12-22	xxgf	浔兴股份
002099	sz	2006-12-26	hxyy	海翔药业
002100	sz	2006-12-26	tksw	天康生物
002101	sz	2006-12-29	gdht	广东鸿图
002102	sz	2006-12-29	gfgf	冠福股份
002103	sz	2007-01-10	gbgf	广博股份
002104	sz	2007-01-10	hbgf	恒宝股份
002105	sz	2007-01-12	xljk	信隆健康
002106	sz	2007-01-12	lbgk	莱宝高科
002107	sz	2007-01-24	whyy	沃华医药
002108	sz	2007-01-24	czmz	沧州明珠
002109	sz	2007-01-26	xhgf	兴化股份
002110	sz	2007-01-26	sgmg	三钢闽光
002111	sz	2007-01-26	whgt	威海广泰
002112	sz	2007-02-08	sbkj	三变科技
002113	sz	2007-02-08	trsy	天润数娱
002114	sz	2007-02-15	lpxd	罗平锌电
002115	sz	2007-02-15	swtx	三维通信
002116	sz	2007-02-15	zghc	中国海诚
002117	sz	2007-03-02	dggf	东港股份
002118	sz	2007-03-02	zxyy	紫鑫药业
002119	sz	2007-03-02	kqdz	康强电子
002120	sz	2007-03-06	ydgf	韵达股份
002121	sz	2007-03-06	kldz	科陆电子
002122	sz	2007-03-28	tmgf	天马股份
002123	sz	2007-03-28	mwrx	梦网荣信
